OFC_DESC,OC_DIST_NUM,OC_NM_LST,OC_NM_FRST,filing_period,RPT_ZIP_CD,TOT_CON_AMT
LAUSD Board Member,2.0,Aldana,Manuel,3rd Quarterly (2016-07-01 to 2016-09-30),90011,103.91
LAUSD Board Member,2.0,Aldana,Manuel,3rd Quarterly (2016-07-01 to 2016-09-30),90032,100.0
LAUSD Board Member,2.0,Alva,Lisa,1st Pre-Election (2017-01-01 to 2017-01-21),90004,100.0
LAUSD Board Member,2.0,Alva,Lisa,2nd Pre-Election (2017-01-22 to 2017-02-18),90012,150.0
LAUSD Board Member,2.0,Alva,Lisa,3rd Pre-Election (2017-02-19 to 2017-03-01),90018,100.0
LAUSD Board Member,2.0,Alva,Lisa,3rd Pre-Election (2017-02-19 to 2017-03-01),90019,100.0
LAUSD Board Member,2.0,Alva,Lisa,2nd Pre-Election (2017-01-22 to 2017-02-18),90022,100.0
LAUSD Board Member,2.0,Alva,Lisa,1st Pre-Election (2017-01-01 to 2017-01-21),90023,250.0
LAUSD Board Member,2.0,Alva,Lisa,3rd Pre-Election (2017-02-19 to 2017-03-01),90023,100.0
LAUSD Board Member,2.0,Alva,Lisa,2nd Pre-Election (2017-01-22 to 2017-02-18),90025,100.0
LAUSD Board Member,2.0,Alva,Lisa,2nd Pre-Election (2017-01-22 to 2017-02-18),90026,1600.0
LAUSD Board Member,2.0,Alva,Lisa,3rd Pre-Election (2017-02-19 to 2017-03-01),90026,100.0
LAUSD Board Member,2.0,Alva,Lisa,3rd Pre-Election (2017-02-19 to 2017-03-01),90031,100.0
LAUSD Board Member,2.0,Alva,Lisa,4th Quarterly (2016-10-01 to 2016-12-31),90032,600.0
LAUSD Board Member,2.0,Alva,Lisa,1st Pre-Election (2017-01-01 to 2017-01-21),90032,130.0
LAUSD Board Member,2.0,Alva,Lisa,2nd Pre-Election (2017-01-22 to 2017-02-18),90032,100.0
LAUSD Board Member,2.0,Alva,Lisa,1st Semi-Annual (2017-01-01 to 2017-06-30),90032,1240.0
LAUSD Board Member,2.0,Alva,Lisa,3rd Pre-Election (2017-02-19 to 2017-03-01),90039,100.0
LAUSD Board Member,2.0,Alva,Lisa,2nd Pre-Election (2017-01-22 to 2017-02-18),90041,100.0
LAUSD Board Member,2.0,Alva,Lisa,2nd Pre-Election (2017-01-22 to 2017-02-18),90042,100.0
LAUSD Board Member,2.0,Alva,Lisa,2nd Pre-Election (2017-01-22 to 2017-02-18),90065,200.0
LAUSD Board Member,2.0,Alva,Lisa,3rd Pre-Election (2017-02-19 to 2017-03-01),90065,50.0
LAUSD Board Member,2.0,Alva,Lisa,1st Pre-Election (2017-01-01 to 2017-01-21),90212,1100.0
LAUSD Board Member,2.0,Alva,Lisa,3rd Pre-Election (2017-02-19 to 2017-03-01),90241,100.0
LAUSD Board Member,2.0,Alva,Lisa,1st Semi-Annual (2017-01-01 to 2017-06-30),90250,250.0
LAUSD Board Member,2.0,Alva,Lisa,1st Semi-Annual (2017-01-01 to 2017-06-30),90502,200.0
LAUSD Board Member,2.0,Alva,Lisa,1st Pre-Election (2017-01-01 to 2017-01-21),90604,100.0
LAUSD Board Member,2.0,Alva,Lisa,2nd Pre-Election (2017-01-22 to 2017-02-18),90605,200.0
LAUSD Board Member,2.0,Alva,Lisa,1st Semi-Annual (2017-01-01 to 2017-06-30),90732,100.0
