election_id,election_desc,cand_name,seat_desc,zip_code,filing_period,TOT_CON_AMT
53,2017 City and LAUSD Elections,"Aldana, Manuel",LAUSD Board Member - District 2,90011,3rd Quarterly (2016-07-01 to 2016-09-30),103.91
53,2017 City and LAUSD Elections,"Aldana, Manuel",LAUSD Board Member - District 2,90032,3rd Quarterly (2016-07-01 to 2016-09-30),100.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90004,1st Pre-Election (2017-01-01 to 2017-01-21),100.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90012,2nd Pre-Election (2017-01-22 to 2017-02-18),150.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90018,3rd Pre-Election (2017-02-19 to 2017-03-01),100.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90019,3rd Pre-Election (2017-02-19 to 2017-03-01),100.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90022,2nd Pre-Election (2017-01-22 to 2017-02-18),100.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90023,1st Pre-Election (2017-01-01 to 2017-01-21),250.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90023,3rd Pre-Election (2017-02-19 to 2017-03-01),100.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90025,2nd Pre-Election (2017-01-22 to 2017-02-18),100.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90026,2nd Pre-Election (2017-01-22 to 2017-02-18),1600.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90026,3rd Pre-Election (2017-02-19 to 2017-03-01),100.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90031,3rd Pre-Election (2017-02-19 to 2017-03-01),100.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90032,1st Pre-Election (2017-01-01 to 2017-01-21),130.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90032,1st Semi-Annual (2017-01-01 to 2017-06-30),1240.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90032,2nd Pre-Election (2017-01-22 to 2017-02-18),100.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90032,4th Quarterly (2016-10-01 to 2016-12-31),600.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90039,3rd Pre-Election (2017-02-19 to 2017-03-01),100.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90041,2nd Pre-Election (2017-01-22 to 2017-02-18),100.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90042,2nd Pre-Election (2017-01-22 to 2017-02-18),100.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90065,2nd Pre-Election (2017-01-22 to 2017-02-18),200.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90065,3rd Pre-Election (2017-02-19 to 2017-03-01),50.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90212,1st Pre-Election (2017-01-01 to 2017-01-21),1100.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90241,3rd Pre-Election (2017-02-19 to 2017-03-01),100.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90250,1st Semi-Annual (2017-01-01 to 2017-06-30),250.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90502,1st Semi-Annual (2017-01-01 to 2017-06-30),200.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90604,1st Pre-Election (2017-01-01 to 2017-01-21),100.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90605,2nd Pre-Election (2017-01-22 to 2017-02-18),200.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,90732,1st Semi-Annual (2017-01-01 to 2017-06-30),100.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,91016,2nd Pre-Election (2017-01-22 to 2017-02-18),200.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,91024,1st Pre-Election (2017-01-01 to 2017-01-21),100.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,91360,1st Pre-Election (2017-01-01 to 2017-01-21),100.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,91360,2nd Pre-Election (2017-01-22 to 2017-02-18),200.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,91404,2nd Pre-Election (2017-01-22 to 2017-02-18),75.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,91504,1st Pre-Election (2017-01-01 to 2017-01-21),100.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,91746,1st Pre-Election (2017-01-01 to 2017-01-21),100.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,91754,1st Pre-Election (2017-01-01 to 2017-01-21),100.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,91803,3rd Pre-Election (2017-02-19 to 2017-03-01),100.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,91803,4th Quarterly (2016-10-01 to 2016-12-31),200.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,93012,1st Pre-Election (2017-01-01 to 2017-01-21),500.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,94806,2nd Pre-Election (2017-01-22 to 2017-02-18),108.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,98087,1st Pre-Election (2017-01-01 to 2017-01-21),100.0
53,2017 City and LAUSD Elections,"Alva, Lisa",LAUSD Board Member - District 2,98136,1st Pre-Election (2017-01-01 to 2017-01-21),100.0
53,2017 City and LAUSD Elections,"Amori, Paul",Mayor,20854,4th Quarterly (2016-10-01 to 2016-12-31),100.0
53,2017 City and LAUSD Elections,"Amori, Paul",Mayor,90017,3rd Pre-Election (2017-02-19 to 2017-03-01),100.0
53,2017 City and LAUSD Elections,"Amori, Paul",Mayor,90021,4th Quarterly (2016-10-01 to 2016-12-31),111.0
53,2017 City and LAUSD Elections,"Amori, Paul",Mayor,90066,3rd Pre-Election (2017-02-19 to 2017-03-01),250.0
53,2017 City and LAUSD Elections,"Amori, Paul",Mayor,90069,2nd Pre-Election (2017-01-22 to 2017-02-18),250.0
53,2017 City and LAUSD Elections,"Amori, Paul",Mayor,90266,1st Pre-Election (2017-01-01 to 2017-01-21),100.0
53,2017 City and LAUSD Elections,"Amori, Paul",Mayor,90292,3rd Pre-Election (2017-02-19 to 2017-03-01),100.0
53,2017 City and LAUSD Elections,"Amori, Paul",Mayor,91335,1st Pre-Election (2017-01-01 to 2017-01-21),100.0
53,2017 City and LAUSD Elections,"Amori, Paul",Mayor,91403,3rd Pre-Election (2017-02-19 to 2017-03-01),100.0
53,2017 City and LAUSD Elections,"Amori, Paul",Mayor,91403,4th Quarterly (2016-10-01 to 2016-12-31),100.0
53,2017 City and LAUSD Elections,"Amori, Paul",Mayor,93942,4th Quarterly (2016-10-01 to 2016-12-31),100.0
53,2017 City and LAUSD Elections,"Amori, Paul",Mayor,94115,4th Quarterly (2016-10-01 to 2016-12-31),300.0
53,2017 City and LAUSD Elections,"Amori, Paul",Mayor,94960,4th Quarterly (2016-10-01 to 2016-12-31),1000.0
53,2017 City and LAUSD Elections,"Arnold, Caney",City Council Member - District 15,90405,4th Quarterly (2016-10-01 to 2016-12-31),200.0
53,2017 City and LAUSD Elections,"Arnold, Caney",City Council Member - District 15,90731,2nd Pre-Election (2017-01-22 to 2017-02-18),500.0
53,2017 City and LAUSD Elections,"Arnold, Caney",City Council Member - District 15,90732,1st Pre-Election (2017-01-01 to 2017-01-21),270.0
53,2017 City and LAUSD Elections,"Arnold, Caney",City Council Member - District 15,90732,3rd Pre-Election (2017-02-19 to 2017-03-01),250.0
53,2017 City and LAUSD Elections,"Arnold, Caney",City Council Member - District 15,91304,4th Quarterly (2016-10-01 to 2016-12-31),100.0
53,2017 City and LAUSD Elections,"Arnold, Caney",City Council Member - District 15,95112,4th Quarterly (2016-10-01 to 2016-12-31),100.0
53,2017 City and LAUSD Elections,"Ayala, Olga",City Council Member - District 7,90045,3rd Pre-Election (2017-02-19 to 2017-03-01),100.0
